"Name","val/acc_best","dataset/snr_db","model/backbone/delta","seed","test/acc"
"clear-sweep-23","0.800000011920929","40","1.5","2","0.7616000175476074"
"fancy-sweep-30","0.7932000160217285","40","2","4","0.7815999984741211"
"vocal-sweep-25","0.7911999821662903","40","1.5","4","0.7728000283241272"
"ruby-sweep-28","0.7904000282287598","40","2","2","0.7835999727249146"
"crisp-sweep-29","0.7900000214576721","40","2","3","0.7667999863624573"
"atomic-sweep-33","0.7900000214576721","40","2.5","2","0.7588000297546387"
"soft-sweep-26","0.7879999876022339","40","2","0","0.7875999808311462"
"warm-sweep-31","0.7864000201225281","40","2.5","0","0.7692000269889832"
"earthy-sweep-34","0.7860000133514404","40","2.5","3","0.777999997138977"
"summer-sweep-35","0.7839999794960022","40","2.5","4","0.7843999862670898"
"valiant-sweep-27","0.7835999727249146","40","2","1","0.7656000256538391"
"daily-sweep-24","0.7832000255584717","40","1.5","3","0.7603999972343445"
"elated-sweep-32","0.7799999713897705","40","2.5","1","0.774399995803833"
"sweet-sweep-22","0.77920001745224","40","1.5","1","0.7567999958992004"
"lilac-sweep-21","0.7752000093460083","40","1.5","0","0.7599999904632568"
"azure-sweep-18","0.7635999917984009","40","1","2","0.7311999797821045"
"tough-sweep-16","0.7616000175476074","40","1","0","0.7383999824523926"
"earthy-sweep-19","0.7595999836921692","40","1","3","0.7211999893188477"
"ancient-sweep-20","0.7567999958992004","40","1","4","0.75"
"honest-sweep-13","0.7527999877929688","40","0.75","2","0.7224000096321106"
"noble-sweep-17","0.7519999742507935","40","1","1","0.7311999797821045"
"solar-sweep-14","0.741599977016449","40","0.75","3","0.7075999975204468"
"whole-sweep-11","0.7411999702453613","40","0.75","0","0.7116000056266785"
"polar-sweep-15","0.7400000095367432","40","0.75","4","0.72079998254776"
"olive-sweep-12","0.7247999906539917","40","0.75","1","0.6972000002861023"
"graceful-sweep-7","0.6972000002861023","40","0.5","1","0.6651999950408936"
"cool-sweep-10","0.6948000192642212","40","0.5","4","0.6751999855041504"
"polished-sweep-9","0.6919999718666077","40","0.5","3","0.66839998960495"
"glowing-sweep-8","0.6912000179290771","40","0.5","2","0.6743999719619751"
"elated-sweep-6","0.6895999908447266","40","0.5","0","0.6520000100135803"
"earnest-sweep-1","0.6055999994277954","40","0.25","0","0.5767999887466431"
"resilient-sweep-3","0.6032000184059143","40","0.25","2","0.5712000131607056"
"sleek-sweep-2","0.6028000116348267","40","0.25","1","0.5820000171661377"
"apricot-sweep-4","0.5776000022888184","40","0.25","3","0.5799999833106995"
"driven-sweep-5","0.5752000212669373","40","0.25","4","0.5527999997138977"
"sweet-morning-471","","","","",""
