"Name","val/acc_best","model","seed","test/acc","model/backbone/delta","model/backbone/snr_db","Runtime","model.backbone.k","model.backbone.hidden_dim","Notes","Tags","model.backbone.snr_db","test/loss","train/acc","train/loss","val/acc","val/loss","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","_target_","batch_size","callbacks/early_stopping/_target_","callbacks/early_stopping/mode","callbacks/early_stopping/monitor","callbacks/model_summary/_target_","callbacks/model_summary/max_depth","callbacks/rich_progress_bar/_target_","datamodule/_target_","datamodule/batch_size","datamodule/num_workers","datamodule/pin_memory","dataset.mat_flag","dataset.n_sources","dataset.ntype","dataset.snr_db","dataset.spike","dataset/_target_","dataset/delta","dataset/k_diffusion","dataset/mat_flag","dataset/n_community","dataset/n_nodes","dataset/n_sources","dataset/n_spikes","dataset/ntype","dataset/num_samples","dataset/p_inter","dataset/p_intra","dataset/shift_flag","dataset/snr_db","dataset/spike","delta","k_diffusion","logger/_target_","logger/group","logger/job_type","logger/log_model","logger/notes","logger/offline","logger/project","logger/save_dir","logger/tags","mat_flag","model.backbone.cf_std","model.backbone.delta","model.backbone.hidden_ffnn","model.backbone.p","model.backbone.snr","model.batch_size","model.optimizer.lr","model.optimizer.weight_decay","model.validation_flag","model/_target_","model/backbone/_target_","model/backbone/cf_std","model/backbone/hidden_dim","model/backbone/hidden_dim_ffnn","model/backbone/hidden_ffnn","model/backbone/k","model/backbone/n_classes","model/backbone/p","model/batch_size","model/n_classes","model/num_workers","model/optimizer/_partial_","model/optimizer/_target_","model/optimizer/lr","model/optimizer/weight_decay","model/pin_memory","model/scheduler/_partial_","model/scheduler/_target_","model/scheduler/factor","model/scheduler/mode","model/scheduler/patience","model/train_flag","model/validation_flag","n_classes","n_community","n_nodes","n_sources","num_samples","num_workers","p_inter","p_intra","paths/data_dir","paths/log_dir","paths/output_dir","paths/root_dir","paths/work_dir","pin_memory","snr_db","spike","task_name","train_flag","trainer/_target_","trainer/accelerator","trainer/default_root_dir","trainer/deterministic","trainer/devices","trainer/log_every_n_steps","trainer/max_epochs","trainer/min_epochs","trainer/precision","validation_flag","epoch","trainer/global_step","nb_parameters"
"fiery-sweep-25","0.9043999910354614","airtnn","4","0.892799973487854","2","20","487","","","paper_simulation","06/19, delta/accuracy","20","0.3035423159599304","0.9005600214004517","0.30718478560447693","0.9043999910354614","0.3008432388305664","a2oesrf8","finished","simone-fiorellino","","","2023-06-19T20:09:32.000Z","2023-06-19T20:17:39.000Z","2023-06-19T20:17:39.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","2","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_22-09-34","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_22-09-34","false","[0]","40","100","10","32","true","100","9800",""
"dark-sweep-24","0.911199986934662","airtnn","3","0.901199996471405","2","20","468","","","paper_simulation","06/19, delta/accuracy","20","0.302284836769104","0.9087200164794922","0.27725088596343994","0.9043999910354614","0.2898387908935547","4ufx7bbh","finished","simone-fiorellino","","","2023-06-19T20:01:38.000Z","2023-06-19T20:09:26.000Z","2023-06-19T20:09:26.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","2","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_22-01-40","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_22-01-40","false","[0]","40","100","10","32","true","100","9800",""
"smooth-sweep-23","0.9192000031471252","airtnn","2","0.9240000247955322","2","20","479","","","paper_simulation","06/19, delta/accuracy","20","0.24209776520729065","0.9122400283813475","0.27097612619400024","0.9043999910354614","0.2716914117336273","hmhd3f3o","finished","simone-fiorellino","","","2023-06-19T19:53:36.000Z","2023-06-19T20:01:35.000Z","2023-06-19T20:01:35.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","2","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-53-38","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-53-38","false","[0]","40","100","10","32","true","100","9800",""
"youthful-sweep-22","0.9107999801635742","airtnn","1","0.881600022315979","2","20","460","","","paper_simulation","06/19, delta/accuracy","20","0.3890501856803894","0.8971199989318848","0.33443310856819153","0.8804000020027161","0.38602638244628906","b7r6pdyy","finished","simone-fiorellino","","","2023-06-19T19:45:49.000Z","2023-06-19T19:53:29.000Z","2023-06-19T19:53:29.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","2","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-45-51","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-45-51","false","[0]","40","100","10","32","true","100","9800",""
"scarlet-sweep-21","0.9075999855995178","airtnn","0","0.9052000045776368","2","20","467","","","paper_simulation","06/19, delta/accuracy","20","0.2814622223377228","0.9012799859046936","0.2967473268508911","0.8960000276565552","0.3107911944389343","eozwb54b","finished","simone-fiorellino","","","2023-06-19T19:37:56.000Z","2023-06-19T19:45:43.000Z","2023-06-19T19:45:43.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","2","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-37-58","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-37-58","false","[0]","40","100","10","32","true","100","9800",""
"fearless-sweep-20","0.9368000030517578","airtnn","4","0.9251999855041504","1.5","20","480","","","paper_simulation","06/19, delta/accuracy","20","0.22335787117481232","0.935920000076294","0.2015862762928009","0.9355999827384948","0.21008343994617465","4f7u12y1","finished","simone-fiorellino","","","2023-06-19T19:29:49.000Z","2023-06-19T19:37:49.000Z","2023-06-19T19:37:49.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","1.5","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-29-51","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-29-51","false","[0]","40","100","10","32","true","100","9800",""
"laced-sweep-19","0.9391999840736388","airtnn","3","0.9103999733924866","1.5","20","482","","","paper_simulation","06/19, delta/accuracy","20","0.26661890745162964","0.915120005607605","0.29761049151420593","0.9223999977111816","0.2402447760105133","69hlpkle","finished","simone-fiorellino","","","2023-06-19T19:21:41.000Z","2023-06-19T19:29:43.000Z","2023-06-19T19:29:43.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","1.5","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-21-43","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-21-43","false","[0]","40","100","10","32","true","100","9800",""
"frosty-sweep-18","0.9408000111579896","airtnn","2","0.9444000124931335","1.5","20","475","","","paper_simulation","06/19, delta/accuracy","20","0.17577365040779114","0.9344000220298768","0.21113978326320648","0.9408000111579896","0.17963093519210815","iuw76nnl","finished","simone-fiorellino","","","2023-06-19T19:13:42.000Z","2023-06-19T19:21:37.000Z","2023-06-19T19:21:37.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","1.5","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-13-44","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-13-44","false","[0]","40","100","10","32","true","100","9800",""
"vital-sweep-17","0.9351999759674072","airtnn","1","0.9264000058174132","1.5","20","468","","","paper_simulation","06/19, delta/accuracy","20","0.226602703332901","0.9273599982261658","0.22985999286174777","0.9236000180244446","0.2235352098941803","gpy1rz9g","finished","simone-fiorellino","","","2023-06-19T19:05:47.000Z","2023-06-19T19:13:35.000Z","2023-06-19T19:13:35.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","1.5","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-05-49","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_21-05-49","false","[0]","40","100","10","32","true","100","9800",""
"kind-sweep-16","0.9380000233650208","airtnn","0","0.9348000288009644","1.5","20","486","","","paper_simulation","06/19, delta/accuracy","20","0.2004365473985672","0.938480019569397","0.1981194168329239","0.9351999759674072","0.20968571305274963","kth0v5nn","finished","simone-fiorellino","","","2023-06-19T18:57:34.000Z","2023-06-19T19:05:40.000Z","2023-06-19T19:05:40.000Z","q6qpngit","gundam","","9695d8f3cd916f73c4e02583fc7feec154b19872","","","","","128","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","","","","","","data.cell_sbm_dataset.CellDataset","","50","","10","70","","0.85","spectral","15000","0.01","0.9","edge_adj","40","1","","","pytorch_lightning.loggers.wandb.WandbLogger","","","false","paper_simulation","false","airtnn","logs","[""06/19"",""delta/accuracy""]","","","1.5","","","","","","","","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","","32","1024","","5","11","0","128","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","","true","11","","","","","4","","","./topological_air_nn/data/","./topological_air_nn/logs/","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_20-57-36","./topological_air_nn","/home/simone/projects/topological_air_nn","true","","","train","","pytorch_lightning.Trainer","gpu","/home/simone/projects/topological_air_nn/topological_air_nn/logs/train/runs/2023-06-19_20-57-36","false","[0]","40","100","10","32","true","100","9800",""
