"Name","val/acc_best","seed","test/acc","model/backbone/delta","model/backbone/snr_db","Updated","model.backbone.snr_db","Tags","dataset/snr_db"
"worthy-sweep-180","0.7883999943733215","4","0.7879999876022339","2.5","80","2023-05-26T01:14:04.000Z","80","05/25, airtnn, heat_map","40"
"zany-sweep-179","0.7835999727249146","3","0.7684000134468079","2.5","80","2023-05-26T01:11:30.000Z","80","05/25, airtnn, heat_map","40"
"avid-sweep-178","0.7847999930381775","2","0.7652000188827515","2.5","80","2023-05-26T01:08:59.000Z","80","05/25, airtnn, heat_map","40"
"glad-sweep-177","0.77920001745224","1","0.7739999890327454","2.5","80","2023-05-26T01:06:20.000Z","80","05/25, airtnn, heat_map","40"
"lucky-sweep-176","0.7875999808311462","0","0.7688000202178955","2.5","80","2023-05-26T01:03:49.000Z","80","05/25, airtnn, heat_map","40"
"magic-sweep-175","0.7843999862670898","4","0.7919999957084656","2.5","60","2023-05-26T01:01:15.000Z","60","05/25, airtnn, heat_map","40"
"leafy-sweep-174","0.7907999753952026","3","0.7627999782562256","2.5","60","2023-05-26T00:58:44.000Z","60","05/25, airtnn, heat_map","40"
"quiet-sweep-173","0.7915999889373779","2","0.7684000134468079","2.5","60","2023-05-26T00:56:10.000Z","60","05/25, airtnn, heat_map","40"
"charmed-sweep-172","0.7735999822616577","1","0.7688000202178955","2.5","60","2023-05-26T00:53:39.000Z","60","05/25, airtnn, heat_map","40"
"leafy-sweep-171","0.7832000255584717","0","0.7731999754905701","2.5","60","2023-05-26T00:51:08.000Z","60","05/25, airtnn, heat_map","40"
"solar-sweep-170","0.7839999794960022","4","0.7843999862670898","2.5","40","2023-05-26T00:48:37.000Z","40","05/25, airtnn, heat_map","40"
"swept-sweep-169","0.7860000133514404","3","0.777999997138977","2.5","40","2023-05-26T00:46:03.000Z","40","05/25, airtnn, heat_map","40"
"legendary-sweep-168","0.7900000214576721","2","0.7588000297546387","2.5","40","2023-05-26T00:43:29.000Z","40","05/25, airtnn, heat_map","40"
"earnest-sweep-167","0.7799999713897705","1","0.774399995803833","2.5","40","2023-05-26T00:40:58.000Z","40","05/25, airtnn, heat_map","40"
"swept-sweep-166","0.7864000201225281","0","0.7692000269889832","2.5","40","2023-05-26T00:38:26.000Z","40","05/25, airtnn, heat_map","40"
"ethereal-sweep-165","0.7788000106811523","4","0.7716000080108643","2.5","20","2023-05-26T00:35:52.000Z","20","05/25, airtnn, heat_map","40"
"rural-sweep-164","0.7671999931335449","3","0.7519999742507935","2.5","20","2023-05-26T00:33:21.000Z","20","05/25, airtnn, heat_map","40"
"unique-sweep-163","0.7652000188827515","2","0.7559999823570251","2.5","20","2023-05-26T00:30:53.000Z","20","05/25, airtnn, heat_map","40"
"jumping-sweep-162","0.7648000121116638","1","0.7608000040054321","2.5","20","2023-05-26T00:28:18.000Z","20","05/25, airtnn, heat_map","40"
"stellar-sweep-161","0.774399995803833","0","0.746399998664856","2.5","20","2023-05-26T00:25:45.000Z","20","05/25, airtnn, heat_map","40"
"icy-sweep-160","0.7271999716758728","4","0.7271999716758728","2.5","10","2023-05-26T00:23:12.000Z","10","05/25, airtnn, heat_map","40"
"kind-sweep-159","0.717199981212616","3","0.7179999947547913","2.5","10","2023-05-26T00:20:41.000Z","10","05/25, airtnn, heat_map","40"
"fearless-sweep-158","0.746399998664856","2","0.7027999758720398","2.5","10","2023-05-26T00:18:06.000Z","10","05/25, airtnn, heat_map","40"
"icy-sweep-157","0.7111999988555908","1","0.7103999853134155","2.5","10","2023-05-26T00:15:31.000Z","10","05/25, airtnn, heat_map","40"
"revived-sweep-156","0.7444000244140625","0","0.7075999975204468","2.5","10","2023-05-26T00:12:59.000Z","10","05/25, airtnn, heat_map","40"
"pretty-sweep-155","0.5928000211715698","4","0.5831999778747559","2.5","0","2023-05-26T00:10:23.000Z","0","05/25, airtnn, heat_map","40"
"dauntless-sweep-154","0.5740000009536743","3","0.598800003528595","2.5","0","2023-05-26T00:07:47.000Z","0","05/25, airtnn, heat_map","40"
"vocal-sweep-153","0.6007999777793884","2","0.5756000280380249","2.5","0","2023-05-26T00:05:19.000Z","0","05/25, airtnn, heat_map","40"
"pious-sweep-152","0.5616000294685364","1","0.5920000076293945","2.5","0","2023-05-26T00:02:47.000Z","0","05/25, airtnn, heat_map","40"
"scarlet-sweep-151","0.5867999792098999","0","0.5587999820709229","2.5","0","2023-05-26T00:00:16.000Z","0","05/25, airtnn, heat_map","40"
