"Name","val/acc_best","train/acc","Tags","Updated","Runtime","model","State","model/backbone/hidden_dim","model/backbone/k","model/backbone/n_layers","model/backbone/snr_db","model/backbone/delta","num_params","trainer/max_epochs","test/acc"
"classic-sweep-25","0.24120000004768372","0.9218400120735168","06/21, snr_sweep","2023-06-21T15:24:28.000Z","358","tnn","finished","16","3","2","40","1","87195","100","0.22040000557899475"
"glowing-sweep-24","0.23800000548362732","0.9192000031471252","06/21, snr_sweep","2023-06-21T15:18:25.000Z","365","tnn","finished","16","3","2","40","1","87195","100","0.22360000014305115"
"crisp-sweep-23","0.21040000021457672","0.920799970626831","06/21, snr_sweep","2023-06-21T15:12:15.000Z","339","tnn","finished","16","3","2","40","1","87195","100","0.164000004529953"
"stilted-sweep-22","0.2515999972820282","0.9204000234603882","06/21, snr_sweep","2023-06-21T15:06:29.000Z","348","tnn","finished","16","3","2","40","1","87195","100","0.2272000014781952"
"gentle-sweep-21","0.23479999601840973","0.9179999828338624","06/21, snr_sweep","2023-06-21T15:00:35.000Z","351","tnn","finished","16","3","2","40","1","87195","100","0.1976000070571899"
"celestial-sweep-20","0.24719999730587008","0.9213600158691406","06/21, snr_sweep","2023-06-21T14:54:40.000Z","355","tnn","finished","16","3","2","20","1","87195","100","0.22439999878406525"
"breezy-sweep-19","0.24079999327659607","0.9195200204849244","06/21, snr_sweep","2023-06-21T14:48:37.000Z","347","tnn","finished","16","3","2","20","1","87195","100","0.2272000014781952"
"likely-sweep-18","0.22280000150203705","0.920960009098053","06/21, snr_sweep","2023-06-21T14:42:47.000Z","352","tnn","finished","16","3","2","20","1","87195","100","0.16279999911785126"
"visionary-sweep-17","0.2563999891281128","0.9200800061225892","06/21, snr_sweep","2023-06-21T14:36:51.000Z","345","tnn","finished","16","3","2","20","1","87195","100","0.23520000278949735"
"eager-sweep-16","0.2460000067949295","0.9180799722671508","06/21, snr_sweep","2023-06-21T14:30:58.000Z","349","tnn","finished","16","3","2","20","1","87195","100","0.2044000029563904"
"usual-sweep-15","0.2272000014781952","0.9211999773979188","06/21, snr_sweep","2023-06-21T14:25:03.000Z","343","tnn","finished","16","3","2","10","1","87195","100","0.21359999477863312"
"rare-sweep-14","0.225600004196167","0.91975998878479","06/21, snr_sweep","2023-06-21T14:19:14.000Z","344","tnn","finished","16","3","2","10","1","87195","100","0.2199999988079071"
"dazzling-sweep-13","0.1976000070571899","0.920639991760254","06/21, snr_sweep","2023-06-21T14:13:22.000Z","354","tnn","finished","16","3","2","10","1","87195","100","0.1728000044822693"
"bumbling-sweep-12","0.2404000014066696","0.9202399849891664","06/21, snr_sweep","2023-06-21T14:07:22.000Z","348","tnn","finished","16","3","2","10","1","87195","100","0.2319999933242798"
"misty-sweep-11","0.20999999344348907","0.9177600145339966","06/21, snr_sweep","2023-06-21T14:01:26.000Z","348","tnn","finished","16","3","2","10","1","87195","100","0.1964000016450882"
"efficient-sweep-10","0.14159999787807465","0.92111998796463","06/21, snr_sweep","2023-06-21T13:55:30.000Z","351","tnn","finished","16","3","2","0","1","87195","100","0.1444000005722046"
"cerulean-sweep-9","0.13600000739097595","0.9192000031471252","06/21, snr_sweep","2023-06-21T13:49:31.000Z","357","tnn","finished","16","3","2","0","1","87195","100","0.1420000046491623"
