"Name","val/acc_best","seed","test/acc","model/backbone/delta","model/backbone/snr_db","Updated","model.backbone.snr_db","Tags","dataset/snr_db","spike","dataset/n_spikes","dataset.spike","dataset/spike"
"woven-sweep-5","0.4180000126361847","4","0.41760000586509705","1","100","2023-05-26T10:59:24.000Z","","05/26, airtnn, alpha","40","","0.85","0.1","0.1"
"vivid-sweep-3","0.4196000099182129","2","0.4259999990463257","1","100","2023-05-26T10:53:30.000Z","","05/26, airtnn, alpha","40","","0.85","0.1","0.1"
"stellar-sweep-2","0.42719998955726624","1","0.41119998693466187","1","100","2023-05-26T10:50:36.000Z","","05/26, airtnn, alpha","40","","0.85","0.1","0.1"
"legendary-sweep-4","0.4275999963283539","3","0.4296000003814697","1","100","2023-05-26T10:56:30.000Z","","05/26, airtnn, alpha","40","","0.85","0.1","0.1"
"swept-sweep-1","0.4108000099658966","0","0.4183999896049499","1","100","2023-05-26T10:47:45.000Z","","05/26, airtnn, alpha","40","","0.85","0.1","0.1"
"sleek-sweep-10","0.7652000188827515","4","0.753600001335144","1","100","2023-05-26T11:13:54.000Z","","05/26, airtnn, alpha","40","","0.85","0.25","0.25"
"driven-sweep-6","0.7512000203132629","0","0.7436000108718872","1","100","2023-05-26T11:02:20.000Z","","05/26, airtnn, alpha","40","","0.85","0.25","0.25"
"twilight-sweep-8","0.7627999782562256","2","0.7588000297546387","1","100","2023-05-26T11:08:10.000Z","","05/26, airtnn, alpha","40","","0.85","0.25","0.25"
"pious-sweep-9","0.7599999904632568","3","0.7411999702453613","1","100","2023-05-26T11:11:02.000Z","","05/26, airtnn, alpha","40","","0.85","0.25","0.25"
"honest-sweep-7","0.7563999891281128","1","0.7232000231742859","1","100","2023-05-26T11:05:17.000Z","","05/26, airtnn, alpha","40","","0.85","0.25","0.25"
"dashing-sweep-14","0.8831999897956848","3","0.873199999332428","1","100","2023-05-26T11:25:24.000Z","","05/26, airtnn, alpha","40","","0.85","0.5","0.5"
"pious-sweep-12","0.8755999803543091","1","0.8460000157356262","1","100","2023-05-26T11:19:42.000Z","","05/26, airtnn, alpha","40","","0.85","0.5","0.5"
"daily-sweep-15","0.8691999912261963","4","0.876800000667572","1","100","2023-05-26T11:28:18.000Z","","05/26, airtnn, alpha","40","","0.85","0.5","0.5"
"dutiful-sweep-11","0.8812000155448914","0","0.8939999938011169","1","100","2023-05-26T11:16:47.000Z","","05/26, airtnn, alpha","40","","0.85","0.5","0.5"
"dandy-sweep-13","0.8916000127792358","2","0.8755999803543091","1","100","2023-05-26T11:22:34.000Z","","05/26, airtnn, alpha","40","","0.85","0.5","0.5"
"whole-sweep-16","0.9143999814987184","0","0.9120000004768372","1","100","2023-05-26T11:31:10.000Z","","05/26, airtnn, alpha","40","","0.85","0.75","0.75"
"noble-sweep-19","0.9236000180244446","3","0.9103999733924866","1","100","2023-05-26T11:39:56.000Z","","05/26, airtnn, alpha","40","","0.85","0.75","0.75"
"glamorous-sweep-17","0.9143999814987184","1","0.8939999938011169","1","100","2023-05-26T11:34:07.000Z","","05/26, airtnn, alpha","40","","0.85","0.75","0.75"
"valiant-sweep-20","0.9083999991416932","4","0.9160000085830688","1","100","2023-05-26T11:42:51.000Z","","05/26, airtnn, alpha","40","","0.85","0.75","0.75"
"zesty-sweep-18","0.9287999868392944","2","0.9092000126838684","1","100","2023-05-26T11:37:02.000Z","","05/26, airtnn, alpha","40","","0.85","0.75","0.75"
"wild-sweep-25","0.9336000084877014","4","0.9376000165939332","1","100","2023-05-26T11:57:24.000Z","","05/26, airtnn, alpha","40","","0.85","1","1"
"ancient-sweep-22","0.9323999881744384","1","0.911199986934662","1","100","2023-05-26T11:48:40.000Z","","05/26, airtnn, alpha","40","","0.85","1","1"
"robust-sweep-21","0.9387999773025512","0","0.940400004386902","1","100","2023-05-26T11:45:43.000Z","","05/26, airtnn, alpha","40","","0.85","1","1"
"rare-sweep-24","0.9355999827384948","3","0.9315999746322632","1","100","2023-05-26T11:54:32.000Z","","05/26, airtnn, alpha","40","","0.85","1","1"
"rosy-sweep-23","0.9455999732017516","2","0.932799994945526","1","100","2023-05-26T11:51:36.000Z","","05/26, airtnn, alpha","40","","0.85","1","1"
